"latitude","longitude","stn","name"
"60.4","23.767","29730","SUOMUSJARVI"
"60.317","24.967","29740","HELSINKI-VANTAA"
"60.25","25.05","29750","HELSINKI-MALMI"
"60.367","26.967","29760","RANKKI"
"59.967","19.967","29800","NYHAMN"
"59.783","21.383","29810","UTO"
"59.767","22.95","29820","RUSSARO"
"59.933","24.017","29840","BAGASKAR"
"60.1","24.917","29860","KATAJALUOTO"
"60.1","25.067","29880","ISOSAARI"
"60.3","20.75","29900","KUMLINGE ISLAND"
"60.85","-0.883","30010","MUCKLE FLUGGA"
"59.883","-1.3","30030","SUMBURGH (CAPE)"
"60.533","-1.383","30040","COLLAFIRTH HILL"
"60.133","-1.183","30050","LERWICK"
"60.45","-1.267","30060","SELLA NESS"
"59.533","-1.633","30080","FAIR ISLE"
"59.083","-4.4","30100","SULE SKERRY"
"60.15","-2.067","30130","FOULA"
"58.95","-2.9","30170","KIRKWALL AIRPORT"
"57.467","-7.367","30220","BENBECULA ISLAND"
"57.333","-7.367","30230","SOUTH UIST RANGE"
"56.967","-6.683","30240","HYSKEIR (LGT-H)"
"58.517","-6.267","30250","BUTT OF LEWIS (LH)"
"58.217","-6.317","30260","STORNOWAY"
"57.417","-6.783","30280","NEIST POINT (LGT-H)"
"57.867","-5.817","30320","RUBH RE"
"57.25","-5.8","30370","SKYE/LUSA"
"58.633","-5","30490","CAPE WRATH (LGT-H)"
"57.267","-4.483","30570","FOYERS"
"57.683","-4.167","30580","INVERGORDON HARBOUR"
"57.533","-4.05","30590","INVERNESS/DALCROSS"
"57.867","-3.767","30610","TARBAT NESS (CAPE)"
"57.817","-3.967","30620","TAIN RANGE"
"57.2","-3.833","30630","AVIEMORE"
"57.65","-3.567","30660","KINLOSS"
"57.717","-3.317","30680","LOSSIEMOUTH"
"57.35","-3.35","30700","GLENLIVET"
"58.45","-3.083","30750","WICK"
"56.683","-2.45","30890","USAN"
"57.2","-2.217","30910","ABERDEEN/DYCE AIRPO"
"57.5","-1.767","30920","PETERHEAD HARBOUR"
"57.683","-2","30930","FRASERBURGH (LGT-H)"
"57.7","-2.117","30940","ROSEHEARTY"
"56.5","-6.883","31000","TIREE"
"55.667","-6.5","31020","ORSAY (LGT-H)"
"55.683","-6.25","31050","ISLAY/PORT ELLEN"
"55.917","-6.133","31060","RHUVAAL"
"55.433","-5.7","31110","MACHRIHANISH"
"56.417","-5.467","31140","OBAN"
"55","-5.15","31180","CORSEWALL PT. (LH)"
"54.633","-4.85","31310","MULL OF GALLOWAY LH"
"54.85","-4.95","31320","WEST FREUGH"
"56.25","-4.717","31330","SLOY"
"55.9","-4.533","31340","GLASGOW BISHOPTON"
"55.5","-4.583","31350","PRESTWICK(CIV/NAVY)"
"55.517","-4.583","31360","PRESTWICK RNAS"
"54.7","-4.417","31370","WHITHORN"
"55.967","-4.8","31380","GREENOCK MRCC"
"55.6","-4.217","31390","SAUGHALL"
"55.433","-5.683","31394","CAMPBELTOWN"
"55.867","-4.433","31400","GLASGOW AIRPORT"
"55.867","-4.267","31450","GLASGOW WEA. CEN."
"55.05","-3.65","31540","DUMFRIES/DRUNGANS"
"-67.767","-68.917","31590","DATSAV3 VIRT STATION (UNITED KINGDOM)"
"55.95","-3.35","31600","EDINBURGH AIRPORT"
"55.317","-3.2","31620","ESKDALEMUIR"
"56.45","-3.017","31634","DUNDEE"
"55.05","-2.55","31650","SPADEADAM"
"55.933","-3.35","31660","EDINBURGH GOGARBANK"
"56.083","-2.633","31670","BASS ROCK (LGT-H)"
"56.4","-2.867","31710","LEUCHARS"
"56.3","-2.583","31740","FIFE NESS"
"55.367","-2.517","31760","CARTERHOUSE"
"56.433","-2.4","31770","BELL ROCK (LGT-H)"
"55.917","-2.133","31850","ST. ABBS HEAD (LH)"
"55.583","-1.65","31900","SEAHOUSES"
"54.083","-4.633","32040","ISLE OF MAN/RONALDS"
"54.417","-4.367","32080","POINT OF AYRE (LH)"
"54.933","-3.15","32090","DRUMBURGH"
"54.517","-3.633","32110","ST. BEES HEAD (LH)"
"54.767","-3.317","32150","ASPATRIA"
"54.933","-2.95","32220","CARLISLE"
"55.05","-2.55","32240","SPADEADAM"
"55.017","-1.867","32380","ALBEMARLE"
"55.417","-1.6","32400","BOULMER"
"55.033","-1.683","32431","NEWCASTLE/WOOLSING."
"55.033","-1.683","32433","NEWCASTLE"
"-67.767","-68.917","32440","DATSAV3 VIRT STATION (UNITED KINGDOM)"
"54.967","-1.617","32450","NEWCASTLE WX CENTRE"
"54.983","-1.6","32460","NEWCASTLE WEATHER C"
"54.3","-1.533","32570","LEEMING"
"54.133","-1.417","32610","DISFORTH AIRFIELD"
"55.017","-1.417","32620","TYNEMOUTH"
"54.5","-1.417","32635","TEESSIDE"
"54.2","-1.383","32643","TOPCLIFFE"
"54.05","-1.25","32660","LINTON-ON-OUSE"
"54.567","-0.867","32750","LOFTUS SAMOS"
"54.367","-0.667","32810","FYLINGDALES"
"54.483","-0.6","32820","WHITBY"
"54.1","-0.167","32920","BRIDLINGTON MRSC"
"53.25","-4.533","33020","VALLEY"
"-67.767","-68.917","33110","DATSAV3 VIRT STATION (UNITED KINGDOM)"
"53.5","-3.067","33160","CROSBY"
"53.767","-3.033","33180","BLACKPOOL AIRPORT"
"53.167","-2.983","33210","HAWARDEN"
"53.55","-2.917","33220","AUGHTON"
