"latitude","longitude","name","stn"
"65.55","-171.033","LAVRENTIJA","254960"
"64.217","164.233","VERHNEE PENZINO","255380"
"64.683","170.417","MARKOVO","255510"
"64.783","177.567","ANADYR","255630"
"64.417","-173.233","BUHTA PROVIDENJA","255940"
"64","158.917","KEDON","256210"
"63.05","179.317","BERINGOVSKAJA","256770"
"62.45","152.317","SREDNIKAN","257050"
"62.433","166.083","KAMENSKOE","257440"
"62.067","175.3","HATYRKA","257670"
"62.417","179.133","BUHTA GAVRIILA","257770"
"61.95","158.967","NAJAHAN","258210"
"61.95","160.367","GIZIGA","258220"
"60.85","151.767","ATKA","259020"
"59.917","150.717","MAGADAN NW","259120"
"59.55","150.783","MAGADAN","259130"
"59.483","150.5","NAGAJEVA BAY","259140"
"59.583","151.3","OLA","259150"
"59.583","154.15","YAMSK-IN-MAGADAN","259160"
"59","150.467","ZAVYALOVA ISLAND","259170"
"59.2","152.35","MELKOVODNAYA","259190"
"60.933","155.917","TUMANI","259220"
"59.65","154.267","BROHOVO","259270"
"60.683","160.4","TAJGONOS","259320"
"60.867","163.633","CEMURNAUT","259410"
"60.35","166","KORF","259540"
"60.433","169.667","APUKA","259560"
"59.467","24.817","TALLINN","260380"
"59.517","26.533","KUNDA","260450"
"59.367","28.117","NARVA","260580"
"59.367","28.6","KINGISEPP","260590"
"59.967","30.3","ST.PETERSBURG","260630"
"59.967","30.3","ST. PETERSBURG","260635"
"59.967","30.3","ST. PETERSBURG","260636"
"59.35","31.233","LJUBAN","260780"
"59.65","33.55","TIHVIN","260940"
"53.883","28.033","MINSK 2","261148"
"58.917","22.067","RISTNA","261150"
"58.817","25.417","TURI","261350"
"59.133","26.233","VALKE-MAARJA","261410"
"58.567","29.8","NIKOLAEVSKOE","261670"
"58.233","22.5","KURESSAARE","262150"
"57.867","24.367","AINAZI","262290"
"58.367","24.5","PJARNU","262310"
"58.3","26.733","TARTU","262420"
"57.783","26.033","VALGA","262470"
"57.817","28.417","PSKOV","262580"
"58.017","31.317","STARAJA RUSSA","262750"
"57.967","33.233","VALDAJ","262890"
"57.9","34.05","BOLOGOE","262980"
"57.75","22.6","KOLKA","263130"
"57.4","21.533","VENTSPILS","263140"
"57.35","23.117","MERSRAGS","263240"
"57.433","27.033","ALUKSNE","263460"
"57.133","26.717","GULBENE","263480"
"57.017","28.9","PUSKINSKIE GORY","263590"
"57.15","31.183","HOLM","263780"
"57.133","33.117","OSTASKOV","263890"
"57.35","21.533","VENTSPILS","264050"
"56.483","21.017","LIEPAJA","264060"
"56.683","22.5","SALDUS","264160"
"56.967","24.05","RIGA","264220"
"56.917","23.967","RIGA","264225"
"56.533","27.267","REZEKNE","264460"
"56.35","30.617","VELIKIE LUKI","264770"
"56.267","32.083","ZAPADNAYA DVINA","264870"
"56.267","34.317","RZEV","264980"
"56.5","34.933","STARITSA","264990"
"55.967","21.1","PALANGA","265020"
"55.883","23.383","SIAULIAI INTL","265021"
"55.733","21.067","KLAIPEDA","265090"
"55.617","22.233","LAUKUVA","265180"
"55.933","23.317","SIAULIAI","265240"
"55.75","24.383","PANEVEZYS","265290"
"56.2","24.767","BIRZAI","265310"
"55.867","26.617","DAUGAVPILS","265440"
"55.817","27.95","VERHNEDVINSK","265540"
"55.85","32.95","BELYJ","265850"
"55.35","21.467","SILUTE","266000"
"55.383","23.117","RASEINIAI","266210"
"54.883","23.833","KAUNAS","266290"
"54.967","24.083","KAUNAS INTL","266295"
"55.533","25.6","UTENA","266330"
"55.05","26.317","LYNTUPY","266450"
"54.883","28.7","LEPEL","266590"
"55.167","30.217","VITEBSK","266660"
"55.167","34.4","VJAZMA","266950"
"-3.317","29.317","DATSAV3 VIRT STATION (BURUNDI)","266970"
"54.717","20.55","KALININGRAD","267020"
"54.633","22.783","KYBARTAI","267130"
"54.633","25.283","VILNIUS","267300"
"54.25","24.55","VARENA","267370"
"54.5","30.417","ORSHA","267630"
"54.75","32.067","SMOLENSK","267810"
"53.6","24.05","GRODNO","268250"
"53.85","25.317","LIDA","268320"
"53.933","27.633","MINSK","268500"
